1	1/SN
역학을	역학/NNG + 을/JKO
배운	배우/VV + ㄴ/ETM
한편	한편/NNG
대학교육을	대학/NNG + 교육/NNG + 을/JKO
받고	받/VV + 고/EC
대학에서	대학/NNG + 에서/JKB
강의를	강의/NNG + 를/JKO
함으로써	하/VV + ㅁ/ETN + 으로써/JKB
대학내의	대학/NNG + 내/NNB + 의/JKG
전통적	전통적/NNG
스콜라역학에도	스콜라/NNG + 역학/NNG + 에/JKB + 도/JX
충분히	충분히/MAG
접할	접하/VV + ㄹ/ETM
수	수/NNB
있었기	있/VV + 었/EP + 기/ETN
때문에	때문/NNB + 에/JKB
두	두/MM
종류의	종류/NNG + 의/JKG
역학의	역학/NNG + 의/JKG
전통에	전통/NNG + 에/JKB
모두	모두/MAG
깊이	깊이/MAG
참여해	참여/NNG + 하/XSV + 아/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

한편	한편/NNG
이같은	이/NP + 같/VA + 은/ETM
16세기	16/SN + 세기/NNG
역학자들과	역학자/NNG + 들/XSN + 과/JC
갈릴레오와의	갈릴레오/NNP + 와/JKB + 의/JKG
연결은	연결/NNG + 은/JX
과학혁명의	과학/NNG + 혁명/NNG + 의/JKG
사회적	사회적/NNG
배경에서	배경/NNG + 에서/JKB
중요한	중요/NNG + 하/XSA + ㄴ/ETM
의미를	의미/NNG + 를/JKO
갖는다.	갖/VV + 는다/EF + ./SF

즉	즉/MAG
대학의	대학/NNG + 의/JKG
외부에서	외부/NNG + 에서/JKB
실제적인	실제적/NNG + 이/VCP + ㄴ/ETM
직업에	직업/NNG + 에/JKB
종사하던	종사/NNG + 하/XSV + 던/ETM
이들	이/NP + 들/XSN
16세기	16/SN + 세기/NNG
역학자들의	역학자/NNG + 들/XSN + 의/JKG
존재는	존재/NNG + 는/JX
이	이/MM
시기에	시기/NNG + 에/JKB
있어서	있/VV + 어서/EC
종래까지	종래/NNG + 까지/JX
무식하던	무식/NNG + 하/XSA + 던/ETM
계층이	계층/NNG + 이/JKS
학문적인	학문적/NNG + 이/VCP + ㄴ/ETM
능력을	능력/NNG + 을/JKO
갖춘	갖추/VV + ㄴ/ETM
계층으로서	계층/NNG + 으로서/JKB
대두하고	대두/NNG + 하/XSV + 고/EC
그런	그런/MM
과정에서	과정/NNG + 에서/JKB
그	그/MM
사회적	사회적/NNG
지위도	지위/NNG + 도/JX
부상했음에	부상/NNG + 하/XSV + 았/EP + 음/ETN + 에/JKB
보여주며	보이/VV + 어/EC + 주/VX + 며/EC
이들의	이/NP + 들/XSN + 의/JKG
학문적인	학문적/NNG + 이/VCP + ㄴ/ETM
활동이	활동/NNG + 이/JKS
급기야는	급기야/MAG + 는/JX
대학에	대학/NNG + 에/JKB
속했던	속하/VV + 았/EP + 던/ETM
갈릴레오	갈릴레오/NNP
같은	같/VA + 은/ETM
사람에도	사람/NNG + 에/JKB + 도/JX
연결되어서	연결/NNG + 되/XSV + 어서/EC
역학의	역학/NNG + 의/JKG
발전에	발전/NNG + 에/JKB
직접	직접/MAG
기여하게	기여/NNG + 하/XSV + 게/EC
되었음을	되/VV + 었/EP + 음/ETN + 을/JKO
말해주는데,	말/NNG + 하/XSV + 아/EC + 주/VX + 는데/EC + ,/SP
이에	이/NP + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
다음	다음/NNG
장에서	장/NNG + 에서/JKB
자세히	자세히/MAG
다루겠다.	다루/VV + 겠/EP + 다/EF + ./SF

6	6/SN

위에서	위/NNG + 에서/JKB
갈릴레오의	갈릴레오/NNP + 의/JKG
업적을	업적/NNG + 을/JKO
다루면서	다루/VV + 면서/EC
우리는	우리/NP + 는/JX
이미	이미/MAG
그의	그/NP + 의/JKG
한계성에	한계성/NNG + 에/JKB
대해서도	대하/VV + 아서/EC + 도/JX
언급을	언급/NNG + 을/JKO
했다.	하/VV + 았/EP + 다/EF + ./SF

그	그/MM
외에도	외/NNB + 에/JKB + 도/JX
그는	그/NP + 는/JX
그의	그/NP + 의/JKG
우주구조에	우주/NNG + 구조/NNG + 에/JKB
있어	있/VV + 어/EC
항상	항상/MAG
원운동을	원운동/NNG + 을/JKO
고수했다.	고수/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그리고	그리고/MAJ
이것은	이것/NP + 은/JX
앞에서도	앞/NNG + 에서/JKB + 도/JX
언급한	언급/NNG + 하/XSV + ㄴ/ETM
대로	대로/NNB
갈릴레오가	갈릴레오/NNP + 가/JKS
아리스토텔레스의	아리스토텔레스/NNP + 의/JKG
체계를	체계/NNG + 를/JKO
완전히	완전히/MAG
벗어나지는	벗어나/VV + 지/EC + 는/JX
못했음을	못하/VX + 았/EP + 음/ETN + 을/JKO
뜻한다.	뜻/NNG + 하/XSV + ㄴ다/EF + ./SF

아리스토텔레스적	아리스토텔레스적/NNP
잔재는	잔재/NNG + 는/JX
비단	비단/MAG
그의	그/NP + 의/JKG
관성의	관성/NNG + 의/JKG
개념에만	개념/NNG + 에/JKB + 만/JX
남아	남/VV + 아/EC
있었던	있/VX + 었/EP + 던/ETM
것은	것/NNB + 은/JX
아니었다.	아니/VCN + 었/EP + 다/EF + ./SF

이	이/MM
경우에도	경우/NNG + 에/JKB + 도/JX
갈릴레오는	갈릴레오/NNP + 는/JX
아리스토텔레스의	아리스토텔레스/NNP + 의/JKG
자연스러운	자연/NNG + 스럽/XSA + ㄴ/ETM
운동과	운동/NNG + 과/JC
비자연적	비자연적/NNG
운동의	운동/NNG + 의/JKG
엄격한	엄격/XR + 하/XSA + ㄴ/ETM
구별에서	구별/NNG + 에서/JKB
완전히	완전히/MAG
벗어나지	벗어나/VV + 지/EC
못한	못하/VX + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

결국	결국/NNG
갈릴레오는	갈릴레오/NNP + 는/JX
아리스토텔레스	아리스토텔레스/NNP
역학의	역학/NNG + 의/JKG
체계에서	체계/NNG + 에서/JKB
벗어나는	벗어나/VV + 는/ETM
것과	것/NNB + 과/JC
새로운	새롭/VA + ㄴ/ETM
체계를	체계/NNG + 를/JKO
구축하는	구축/NNG + 하/XSV + 는/ETM
일의	일/NNG + 의/JKG
시작을	시작/NNG + 을/JKO
했던	하/VV + 았/EP + 던/ETM
셈이다.	셈/NNB + 이/VCP + 다/EF + ./SF

이같은	이/NP + 같/VA + 은/ETM
갈릴레오	갈릴레오/NNP
역학의	역학/NNG + 의/JKG
한계는	한계/NNG + 는/JX
갈릴레오보다	갈릴레오/NNP + 보다/JKB
훨씬	훨씬/MAG
더	더/MAG
이론적이고	이론적/NNG + 이/VCP + 고/EC
체계적이었던	체계적/NNG + 이/VCP + 었/EP + 던/ETM
데카르트가	데카르트/NNP + 가/JKS
깨뜨려	깨뜨리/VV + 어/EC
주고	주/VX + 고/EC
우리의	우리/NP + 의/JKG
논의는	논의/NNG + 는/JX
이제	이제/MAG
당연히	당연히/MAG
데카르트로	데카르트/NNP + 로/JKB
넘어가야	넘어가/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

따라서	따라서/MAJ
역학의	역학/NNG + 의/JKG
혁명을	혁명/NNG + 을/JKO
다루는	다루/VV + 는/ETM
우리의	우리/NP + 의/JKG
논의는	논의/NNG + 는/JX
여기서	여기/NP + 서/JKB
중단하고	중단/NNG + 하/XSV + 고/EC
과학혁명의	과학/NNG + 혁명/NNG + 의/JKG
사회적	사회적/NNG
사상적	사상적/NNG
배경과	배경/NNG + 과/JC
과학의	과학/NNG + 의/JKG
방법에	방법/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
논의를	논의/NNG + 를/JKO
한	하/VV + ㄴ/ETM
후에	후/NNG + 에/JKB
다시	다시/MAG
돌아오기로	돌아오/VV + 기/ETN + 로/JKB
한다.	하/VV + ㄴ다/EF + ./SF

제4장	제/XPN + 4/SN + 장/NNG
마술,	마술/NNG + ,/SP
기술	기술/NNG
및	및/MAJ
실험과학	실험/NNG + 과학/NNG
:	:/SP
베이컨	베이컨/NNP

1	1/SN
2장	2/SN + 장/NNG
및	및/MAJ
3장에서	3/SN + 장/NNG + 에서/JKB
다룬	다루/VV + ㄴ/ETM
천문학	천문학/NNG
및	및/MAJ
역학의	역학/NNG + 의/JKG
혁명은	혁명/NNG + 은/JX
과학혁명을	과학/NNG + 혁명/NNG + 을/JKO
통한	통하/VV + ㄴ/ETM
과학의	과학/NNG + 의/JKG
내용상의	내용상/NNG + 의/JKG
혁명에	혁명/NNG + 에/JKB
있어서	있/VV + 어서/EC
핵심을	핵심/NNG + 을/JKO
이루는	이루/VV + 는/ETM
가장	가장/MAG
중요한	중요/NNG + 하/XSA + ㄴ/ETM
것들이었다.	것/NNB + 들/XSN + 이/VCP + 었/EP + 다/EF + ./SF

그러나	그러나/MAJ
그것들이	그것/NP + 들/XSN + 이/JKS
얻어진	얻/VV + 어/EC + 지/VX + ㄴ/ETM
과정,	과정/NNG + ,/SP
특히	특히/MAG
그	그/MM
방법들은	방법/NNG + 들/XSN + 은/JX
크게	크/VA + 게/EC
혁명적이지는	혁명적/NNG + 이/VCP + 지/EC + 는/JX
못했다.	못하/VX + 았/EP + 다/EF + ./SF

우선	우선/MAG
이들	이/NP + 들/XSN
분야의	분야/NNG + 의/JKG
혁명들은	혁명/NNG + 들/XSN + 은/JX
고대에서부터	고대/NNG + 에서부터/JKB
존재했고	존재/NNG + 하/XSV + 았/EP + 고/EC
연구되어	연구/NNG + 되/XSV + 어/EC
왔던	오/VX + 았/EP + 던/ETM
문제들의	문제/NNG + 들/XSN + 의/JKG
연구과정에서	연구/NNG + 과정/NNG + 에서/JKB
얻어졌다.	얻/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

즉	즉/MAG
천문학의	천문학/NNG + 의/JKG
혁명은	혁명/NNG + 은/JX
프톨레마이오스	프톨레마이오스/NNP
천문학의	천문학/NNG + 의/JKG
문제들에,	문제/NNG + 들/XSN + 에/JKB + ,/SP
그리고	그리고/MAJ
역학의	역학/NNG + 의/JKG
혁명은	혁명/NNG + 은/JX
아리스토텔레스의	아리스토텔레스/NNP + 의/JKG
운동이론의	운동/NNG + 이론/NNG + 의/JKG
문제들에	문제/NNG + 들/XSN + 에/JKB
몰두해서	몰두/NNG + 하/XSV + 아서/EC
연구하는	연구/NNG + 하/XSV + 는/ETM
과정에서	과정/NNG + 에서/JKB
얻어진	얻/VV + 어/EC + 지/VX + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

또한	또한/MAG
이들	이/NP + 들/XSN
혁명으로	혁명/NNG + 으로/JKB
이끌고	이끌/VV + 고/EC
간	가/VX + ㄴ/ETM
문제들의	문제/NNG + 들/XSN + 의/JKG
연구에	연구/NNG + 에/JKB
있어서도	있/VV + 어서/EC + 도/JX
종래	종래/MAG
사용해	사용/NNG + 하/XSV + 아/EC
오던	오/VX + 던/ETM
이론적이고	이론적/NNG + 이/VCP + 고/EC
수학적인	수학적/NNG + 이/VCP + ㄴ/ETM
방법들이	방법/NNG + 들/XSN + 이/JKS
그대로	그대로/MAG
사용되었다.	사용/NNG + 되/XSV + 었/EP + 다/EF + ./SF

코페르니쿠스	코페르니쿠스/NNP
천문학의	천문학/NNG + 의/JKG
방법은	방법/NNG + 은/JX
프톨레마이오스의	프톨레마이오스/NNP + 의/JKG
Almagest에	Almagest/SL + 에/JKB
사용된	사용/NNG + 되/XSV + ㄴ/ETM
방법과	방법/NNG + 과/JKB
크게	크/VA + 게/EC
다르지	다르/VA + 지/EC
않았으며	않/VX + 았/EP + 으며/EC
갈릴레오의	갈릴레오/NNP + 의/JKG
방법도	방법/NNG + 도/JX
중세를	중세/NNG + 를/JKO
통한	통하/VV + ㄴ/ETM
아리스토텔레스	아리스토텔레스/NNP
운동이론의	운동/NNG + 이론/NNG + 의/JKG
해석자들이	해석자/NNG + 들/XSN + 이/JKS
사용한	사용/NNG + 하/XSV + ㄴ/ETM
방법과	방법/NNG + 과/JKB
크게	크/VA + 게/EC
차이가	차이/NNG + 가/JKS
나지	나/VV + 지/EC
않았던	않/VX + 았/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

뿐만	뿐/NNB + 만/JX
아니라	아니/VCN + 라/EC
이들	이/NP + 들/XSN
혁명에	혁명/NNG + 에/JKB
있어서	있/VV + 어서/EC
실험적	실험적/NNG
방법의	방법/NNG + 의/JKG
역할은	역할/NNG + 은/JX
거의	거의/MAG
찾아볼	찾아보/VV + ㄹ/ETM
수	수/NNB
없었다.	없/VA + 었/EP + 다/EF + ./SF

그리고	그리고/MAJ
갈릴레오를	갈릴레오/NNP + 를/JKO
뒤이어	뒤잇/VV + 어/EC
역학의	역학/NNG + 의/JKG
혁명을	혁명/NNG + 을/JKO
전개시킨	전개/NNG + 시키/XSV + ㄴ/ETM
데카르트나	데카르트/NNP + 나/JC
호이겐스	호이겐스/NNP
등의	등/NNB + 의/JKG
업적이	업적/NNG + 이/JKS
모두	모두/MAG
이론적,	이론적/NNG + ,/SP
수학적	수학적/NNG
추론에	추론/NNG + 에/JKB
의해	의하/VV + 아/EC
얻어졌음을	얻/VV + 어/EC + 지/VX + 었/EP + 음/ETN + 을/JKO
후에	후/NNG + 에/JKB
보게	보/VV + 게/EC
될	되/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

천문학의	천문학/NNG + 의/JKG
혁명은	혁명/NNG + 은/JX
상황이	상황/NNG + 이/JKS
약간	약간/MAG
달라서	다르/VA + 아서/EC
실험은	실험/NNG + 은/JX
거의	거의/MAG
기여를	기여/NNG + 를/JKO
못했지만	못/MAG + 하/XSV + 았/EP + 지만/EC
관찰은	관찰/NNG + 은/JX
큰	크/VA + ㄴ/ETM
역학을	역학/NNG + 을/JKO
한	하/VV + ㄴ/ETM
것처럼	것/NNB + 처럼/JKB
보인다.	보이/VV + ㄴ다/EF + ./SF

그	그/MM
대표적인	대표적/NNG + 이/VCP + ㄴ/ETM
예가	예/NNG + 가/JKS
티코	티코/NNP
브라헤의	브라헤/NNP + 의/JKG
정확한	정확/NNG + 하/XSA + ㄴ/ETM
관측	관측/NNG
데이타가	데이타/NNG + 가/JKS
케플러의	케플러/NNP + 의/JKG
천문학	천문학/NNG
법칙들에	법칙/NNG + 들/XSN + 에/JKB
준	주/VV + ㄴ/ETM
영향이다.	영향/NNG + 이/VCP + 다/EF + ./SF

티코가	티코/NNG + 가/JKS
사용한	사용/NNG + 하/XSV + ㄴ/ETM
관측방법은	관측/NNG + 방법/NNG + 은/JX
프톨레마이오스	프톨레마이오스/NNP
시기부터	시기/NNG + 부터/JX
사용했던	사용/NNG + 하/XSV + 았/EP + 던/ETM
방법이었던	방법/NNG + 이/VCP + 었/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

더구나	더구나/MAG
티코의	티코/NNP + 의/JKG
관측데이타는	관측/NNG + 데이타/NNG + 는/JX
케플러로	케플러/NNP + 로/JKB
하여금	하여금/MAG
그가	그/NP + 가/JKS
이미	이미/MAG
받아들인	받아들이/VV + ㄴ/ETM
코페르니쿠스	코페르니쿠스/NNP
우주구조의	우주/NNG + 구조/NNG + 의/JKG
세부적	세부적/NNG
설명에	설명/NNG + 에/JKB
있어서의	있/VV + 어서/EC + 의/JKG
어려움을	어려움/NNG + 을/JKO
인식하게는	인식/NNG + 하/XSV + 게/EC + 는/JX
했지만	하/VX + 았/EP + 지만/EC
그로	그/NP + 로/JKB
하여금	하여금/MAG
새로운	새롭/VA + ㄴ/ETM
법칙을	법칙/NNG + 을/JKO
얻어내게	얻/VV + 어/EC + 내/VX + 게/EC
하지는	하/VX + 지/EC + 는/JX
않았다.	않/VX + 았/EP + 다/EF + ./SF

한편	한편/NNG
갈릴레오의	갈릴레오/NNP + 의/JKG
망원경을	망원경/NNG + 을/JKO
사용한	사용/NNG + 하/XSV + ㄴ/ETM
관측결과들은	관측/NNG + 결과/NNG + 들/XSN + 은/JX
물론	물론/MAG
획기적으로	획기적/NNG + 으로/JKB
새로운	새롭/VA + ㄴ/ETM
관측방법의	관측/NNG + 방법/NNG + 의/JKG
소산이었지만,	소산/NNG + 이/VCP + 었/EP + 지만/EC + ,/SP
이	이/MM
경우에는	경우/NNG + 에/JKB + 는/JX
관측결과들이	관측/NNG + 결과/NNG + 들/XSN + 이/JKS
학문적으로	학문적/NNG + 으로/JKB
천문학에	천문학/NNG + 에/JKB
영향을	영향/NNG + 을/JKO
끼친	끼치/VV + ㄴ/ETM
바가	바/NNB + 가/JKS
아주	아주/MAG
작았다.	작/VA + 았/EP + 다/EF + ./SF

이미	이미/MAG
천문학자들은	천문학자/NNG + 들/XSN + 은/JX
케플러의	케플러/NNP + 의/JKG
법칙들에	법칙/NNG + 들/XSN + 에/JKB
의해	의하/VV + 아/EC
새로운	새롭/VA + ㄴ/ETM
천문학	천문학/NNG
체계를	체계/NNG + 를/JKO
받아들이고	받아들이/VV + 고/EC
있었고	있/VX + 었/EP + 고/EC
갈릴레오의	갈릴레오/NNP + 의/JKG
망원경을	망원경/NNG + 을/JKO
통한	통하/VV + ㄴ/ETM
관측들은	관측/NNG + 들/XSN + 은/JX
단지	단지/MAG
일반사람들이	일반/NNG + 사람/NNG + 들/XSN + 이/JKS
아리스토텔레스와	아리스토텔레스/NNP + 와/JC
프톨레마이오스의	프톨레마이오스/NNP + 의/JKG
우주구조를	우주/NNG + 구조/NNG + 를/JKO
버리고	버리/VV + 고/EC
코페르니쿠스	코페르니쿠스/NNP
우주구조를	우주/NNG + 구조/NNG + 를/JKO
받아들이는	받아들이/VV + 는/ETM
일을	일/NNG + 을/JKO
쉽게	쉽/VA + 게/EC
해준	하/VX + 아/EC + 주/VX + ㄴ/ETM
것뿐이었다.	것/NNB + 뿐/JX + 이/VCP + 었/EP + 다/EF + ./SF

오히려	오히려/MAG
갈릴레오는	갈릴레오/NNP + 는/JX
천문학에	천문학/NNG + 에/JKB
있어서	있/VV + 어서/EC
케플러와	케플러/NNP + 와/JKB
같은	같/VA + 은/ETM
정확한	정확/NNG + 하/XSA + ㄴ/ETM
수학적	수학적/NNG
방법을	방법/NNG + 을/JKO
사용하지	사용/NNG + 하/XSV + 지/EC
않은	않/VX + 은/ETM
까닭에	까닭/NNG + 에/JKB
계속해서	계속/NNG + 하/XSV + 아서/EC
원운동에	원운동/NNG + 에/JKB
바탕한	바탕/NNG + 하/XSV + ㄴ/ETM
코페르니쿠스	코페르니쿠스/NNP
우주구조에	우주/NNG + 구조/NNG + 에/JKB
안주해	안주/NNG + 하/XSV + 아/EC
있었던	있/VX + 었/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

2	2/SN

결국	결국/NNG
과학혁명의	과학/NNG + 혁명/NNG + 의/JKG
핵심을	핵심/NNG + 을/JKO
이루는	이루/VV + 는/ETM
천문학과	천문학/NNG + 과/JC
역학에	역학/NNG + 에/JKB
있어서의	있/VV + 어서/EC + 의/JKG
혁명적	혁명적/NNG
변혁들은	변혁/NNG + 들/XSN + 은/JX
이론적,	이론적/NNG + ,/SP
수학적	수학적/NNG
방법으로	방법/NNG + 으로/JKB
얻어졌고	얻/VV + 어/EC + 지/VX + 었/EP + 고/EC
실험적	실험적/NNG
방법이	방법/NNG + 이/JKS
이에	이/NP + 에/JKB
기여한	기여/NNG + 하/XSV + ㄴ/ETM
바는	바/NNB + 는/JX
거의	거의/MAG
무시할	무시/NNG + 하/XSV + ㄹ/ETM
만했다.	만/NNB + 하/XSA + 았/EP + 다/EF + ./SF

그렇다면	그렇/VA + 다면/EC
과학혁명	과학/NNG + 혁명/NNG
중에	중/NNB + 에/JKB
실험이	실험/NNG + 이/JKS
기여한	기여/NNG + 하/XSV + ㄴ/ETM
바는	바/NNB + 는/JX
무엇이었는가?	무엇/NP + 이/VCP + 었/EP + 는가/EF + ?/SF

이	이/MM
질문에	질문/NNG + 에/JKB
대해서는	대하/VV + 아서/EC + 는/JX
Kuhn의	Kuhn/SL + 의/JKG
대답이	대답/NNG + 이/JKS
가장	가장/MAG
수긍이	수긍/NNG + 이/JKS
가고	가/VV + 고/EC
그것은	그것/NP + 은/JX
다음과	다음/NNG + 과/JKB
같다.	같/VA + 다/EF + ./SF

과학혁명에	과학/NNG + 혁명/NNG + 에/JKB
있어서	있/VV + 어서/EC
실험이	실험/NNG + 이/JKS
기여한	기여/NNG + 하/XSV + ㄴ/ETM
곳은	곳/NNG + 은/JX
위에서	위/NNG + 에서/JKB
언급한	언급/NNG + 하/XSV + ㄴ/ETM
내용상의	내용상/NNG + 의/JKG
혁명적인	혁명적/NNG + 이/VCP + ㄴ/ETM
변혁이	변혁/NNG + 이/JKS
있었던	있/VV + 었/EP + 던/ETM
분야가	분야/NNG + 가/JKC
아닌	아니/VCN + ㄴ/ETM
다른	다른/MM
곳에서였다.	곳/NNG + 에서/JKB + 이/VCP + 었/EP + 다/EF + ./SF

또한	또한/MAG
이같은	이/NP + 같/VA + 은/ETM
경험적	경험적/NNG
지식의	지식/NNG + 의/JKG
증가가	증가/NNG + 가/JKS
결국은	결국/NNG + 은/JX
18세기	18/SN + 세기/NNG
말부터	말/NNB + 부터/JX
19세기	19/SN + 세기/NNG
중반에	중반/NNG + 에/JKB
이르기까지	이르/VV + 기/ETN + 까지/JX
이들	이/NP + 들/XSN
분야들이	분야/NNG + 들/XSN + 이/JKS
체계화되고	체계화/NNG + 되/XSV + 고/EC
수학화되어	수학화/NNG + 되/XSV + 어/EC
현대	현대/NNG
물리과학의	물리/NNG + 과학/NNG + 의/JKG
분야들로	분야/NNG + 들/XSN + 로/JKB
학문적으로	학문적/NNG + 으로/JKB
성숙하는	성숙/NNG + 하/XSV + 는/ETM
데	데/NNB
밑바탕이	밑바탕/NNG + 이/JKC
되었다.	되/VV + 었/EP + 다/EF + ./SF

한편	한편/NNG
실험이	실험/NNG + 이/JKS
과학혁명을	과학/NNG + 혁명/NNG + 을/JKO
통해서	통하/VV + 아서/EC
위와	위/NNG + 와/JKB
같은	같/VA + 은/ETM
새로운	새롭/VA + ㄴ/ETM
분야들의	분야/NNG + 들/XSN + 의/JKG
경험적	경험적/NNG
지식의	지식/NNG + 의/JKG
급격한	급격/XR + 하/XSA + ㄴ/ETM
증가를	증가/NNG + 를/JKO
가져오는	가져오/VV + 는/ETM
동안	동안/NNG
실험에	실험/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
사람들의	사람/NNG + 들/XSN + 의/JKG
태도의	태도/NNG + 의/JKG
변화가	변화/NNG + 가/JKS
이와	이/NP + 와/JKB
함께	함께/MAG
했다.	하/VV + 았/EP + 다/EF + ./SF

과학은	과학/NNG + 은/JX
고대와	고대/NNG + 와/JC
중세를	중세/NNG + 를/JKO
통해서	통하/VV + 아서/EC
주로	주로/MAG
이론적이고	이론적/NNG + 이/VCP + 고/EC
수학적인	수학적/NNG + 이/VCP + ㄴ/ETM
채로	채/NNB + 로/JKB
남아	남/VV + 아/EC
있었으며	있/VX + 었/EP + 으며/EC
과학에	과학/NNG + 에/JKB
있어	있/VV + 어/EC
실험적	실험적/NNG
방법의	방법/NNG + 의/JKG
사용은	사용/NNG + 은/JX
예외에	예외/NNG + 에/JKB
속했다.	속하/VV + 았/EP + 다/EF + ./SF

비록	비록/MAG
아리스토텔레스는	아리스토텔레스/NNP + 는/JX
경험적	경험적/NNG
방법을	방법/NNG + 을/JKO
주장했지만	주장/NNG + 하/XSV + 았/EP + 지만/EC
그것이	그것/NP + 이/JKS
정교한	정교/XR + 하/XSA + ㄴ/ETM
관찰이나	관찰/NNG + 이나/JC
실험을	실험/NNG + 을/JKO
의미하지는	의미/NNG + 하/XSV + 지/EC + 는/JX
않았다.	않/VX + 았/EP + 다/EF + ./SF

그리고	그리고/MAJ
엄격한	엄격/XR + 하/XSA + ㄴ/ETM
자연	자연/NNG
대	대/NNB
인공의	인공/NNG + 의/JKG
아리스토텔레스적	아리스토텔레스적/NNG
구분도	구분/NNG + 도/JX
자연을	자연/NNG + 을/JKO
그대로	그대로/MAG
보지	보/VV + 지/EC
않고	않/VX + 고/EC
이에	이/NP + 에/JKB
변형을	변형/NNG + 을/JKO
가해서	가하/VV + 아서/EC
관측하는	관측/NNG + 하/XSV + 는/ETM
실험적	실험적/NNG
방법이	방법/NNG + 이/JKS
자연을	자연/NNG + 을/JKO
이해하는	이해/NNG + 하/XSV + 는/ETM
올바른	올바르/VA + ㄴ/ETM
방법으로	방법/NNG + 으로/JKB
생각되는	생각/NNG + 되/XSV + 는/ETM
것을	것/NNB + 을/JKO
막은	막/VV + 은/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이에	이/NP + 에/JKB
따라	따르/VV + 아/EC
과학은	과학/NNG + 은/JX
중세대학에서	중세/NNG + 대학/NNG + 에서/JKB
철저하게	철저/NNG + 하/XSA + 게/EC
이론과	이론/NNG + 과/JC
수학	수학/NNG
위주로	위주/NNG + 로/JKB
진행되었으며	진행/NNG + 되/XSV + 었/EP + 으며/EC
비록	비록/MAG
그들이	그/NP + 들/XSN + 이/JKS
아리스토텔레스식의	아리스토텔레스/NNP + 식/NNB + 의/JKG
경험적	경험적/NNG
방법을	방법/NNG + 을/JKO
표방했더라도	표방/NNG + 하/XSV + 았/EP + 더라도/EC
그것은	그것/NP + 은/JX
일상의	일상/NNG + 의/JKG
초보적	초보적/NNG
경험에	경험/NNG + 에/JKB
의존하거나	의존/NNG + 하/XSV + 거나/EC
또는	또는/MAG
책에	책/NNG + 에/JKB
기록된	기록/NNG + 되/XSV + ㄴ/ETM
경험적	경험적/NNG
지식의	지식/NNG + 의/JKG
되풀이되는	되풀이/NNG + 되/XSV + 는/ETM
복사에	복사/NNG + 에/JKB
불과했다.	불과/MAG + 하/XSA + 았/EP + 다/EF + ./SF

반면에	반면/NNG + 에/JKB
실제로	실제로/MAG
손과	손/NNG + 과/JC
기구를	기구/NNG + 를/JKO
써서	쓰/VV + 어서/EC
자연세계와	자연/NNG + 세계/NNG + 와/JKB
접하는	접하/VV + 는/ETM
방법은	방법/NNG + 은/JX
비천하고	비천/XR + 하/XSA + 고/EC
과학적	과학적/NNG
지식을	지식/NNG + 을/JKO
위해서는	위하/VV + 아서/EC + 는/JX
쓸모없는	쓸모없/VA + 는/ETM
것으로	것/NNB + 으로/JKB
생각되었으며,	생각/NNG + 되/XSV + 었/EP + 으며/EC + ,/SP
그에	그/NP + 에/JKB
따라	따르/VV + 아/EC
대학과는	대학/NNG + 과/JKB + 는/JX
격리되고	격리/NNG + 되/XSV + 고/EC
사회의	사회/NNG + 의/JKG
낮은	낮/VA + 은/ETM
층에	층/NNG + 에/JKB
속했던	속하/VV + 았/EP + 던/ETM
마술사,	마술사/NNG + ,/SP
연금술사,	연금술사/NNG + ,/SP
기술자,	기술자/NNG + ,/SP
장인	장인/NNG
등에	등/NNB + 에/JKB
의해	의하/VV + 아/EC
사용되고	사용/NNG + 되/XSV + 고/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

과학혁명	과학/NNG + 혁명/NNG
동안에는	동안/NNG + 에/JKB + 는/JX
바로	바로/MAG
이처럼	이/NP + 처럼/JKB
낮게	낮/VA + 게/EC
생각되어	생각/NNG + 되/XSV + 어/EC
오던	오/VX + 던/ETM
실험적	실험적/NNG
방법이	방법/NNG + 이/JKS
과학적	과학적/NNG
지식을	지식/NNG + 을/JKO
얻는	얻/VV + 는/ETM
참다운	참/NNG + 답/XSA + ㄴ/ETM
방법으로	방법/NNG + 으로/JKB
생각되는,	생각/NNG + 되/XSV + 는/ETM + ,/SP
실험에	실험/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
태도의	태도/NNG + 의/JKG
변화가	변화/NNG + 가/JKS
